RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,Kevin Durant, OKC,81,38.5,0.635,16.1,10.3,31.2,2.2,18.6,10.8,29.9,903.8,30.1
2,LeBron James, MIA,77,37.7,0.649,20.6,11.4,29.1,3.6,18.9,11.5,29.4,818.5,27.3
3,Kevin Love, MIN,77,36.3,0.591,15.2,8.7,27.7,8.5,29.5,18.7,26.97,645.8,21.5
4,Anthony Davis, NO,67,35.2,0.582,7.4,7.7,23.2,10,23.3,16.6,26.54,529.3,17.6
5,DeMarcus Cousins, SAC,71,32.4,0.555,10.8,13.1,30.7,10.6,30.5,20.4,26.18,534.5,17.8
6,Chris Paul, LAC,62,35,0.58,36.2,7.9,25,2,11.4,6.9,25.98,485.2,16.2
7,Brook Lopez, BKN,17,31.4,0.629,4.9,8.7,24.1,8.8,14.1,11.5,25.5,118.6,4
8,Russell Westbrook, OKC,46,30.7,0.545,22.5,12.5,33.5,4.6,15.9,10.5,24.74,289.6,9.7
9,Carmelo Anthony, NY,77,38.7,0.561,10.4,8.5,30.1,5.6,19.4,12.3,24.5,623,20.8
10,Stephen Curry, GS,78,36.5,0.61,26.7,11.8,28.2,1.8,10.9,6.4,24.13,557.6,18.6
11,Blake Griffin, LAC,80,35.8,0.583,14.1,10.2,27.1,7.7,21.2,14.7,23.98,533.3,17.8
12,Dirk Nowitzki, DAL,80,32.9,0.603,12.2,6.6,24.9,1.8,20,10.9,23.68,477.7,15.9
13,Brandan Wright, DAL,58,18.6,0.695,7,7.9,15.8,11,15.1,13.1,23.6,194.5,6.5
14,James Harden, HOU,73,38,0.618,20.2,12,26.8,2.6,10.7,6.9,23.51,539.2,18
15,Al Jefferson, CHA,73,35,0.532,8.7,7,26.7,6.9,28.3,17.5,22.75,462.9,15.4
16,Andre Drummond, DET,81,32.3,0.599,3.3,10.4,15.6,17.5,27.7,22.3,22.65,470.9,15.7
17,Al Horford, ATL,29,33,0.588,12.7,10.7,22.7,8,21.4,14.8,22.08,164.2,5.5
18,Dwyane Wade, MIA,54,32.9,0.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,306.3,10.2
19,LaMarcus Aldridge, POR,69,36.2,0.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,385.7,12.9
20,Goran Dragic, PHX,76,35.1,0.604,23.1,11,24.1,2.9,7.4,5.2,21.43,435.4,14.5
21,Tim Duncan, SA,74,29.2,0.535,15.4,11.2,23.5,8.6,28.3,18.8,21.4,318.8,10.6
22,Dwight Howard, HOU,71,33.7,0.6,9.1,15.9,22,11.4,27.9,20.1,21.36,384.8,12.8
23,Nikola Pekovic, MIN,54,30.8,0.582,5.3,8.9,21.1,13.1,17.6,15.3,20.72,251.2,8.4
24,Isaiah Thomas, SAC,72,34.7,0.574,23.4,11,26.1,2.1,7.5,4.7,20.54,355.6,11.9
25,Kyle Lowry, TOR,79,36.2,0.567,28.9,9.6,23.4,3.6,11.5,7.5,20.2,392.9,13.1
26,Paul George, IND,80,36.2,0.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,417.9,13.9
27,Kyrie Irving, CLE,71,35.2,0.533,21.6,9.5,27.8,2.3,9.5,5.8,20.14,340.4,11.3
28,Mike Conley, MEM,73,33.5,0.545,25.3,8.6,24.7,2,8.4,5.2,20.07,331,11
29,Manu Ginobili, SA,68,22.8,0.59,25.7,12.2,24.2,2.3,12,7.3,20.06,221.2,7.4
29,Joakim Noah, CHI,80,35.3,0.531,27.4,12.3,18.9,11.6,24.5,18.2,20.06,398.3,13.3
31,Kenneth Faried, DEN,80,27.2,0.573,8.1,11.4,19.7,11.8,22.2,16.9,19.9,273.1,9.1
32,Paul Millsap, ATL,74,33.5,0.545,14.2,11.3,23.7,7.2,21.9,14.6,19.83,308.4,10.3
33,Serge Ibaka, OKC,81,32.9,0.576,6.7,9.7,18,10,19.6,15,19.66,324.8,10.8
34,Eric Bledsoe, PHX,43,32.9,0.578,22.6,13.8,24.4,2.1,13.8,8,19.62,182.2,6.1
35,John Wall, WSH,82,36.3,0.524,28.5,11.7,27.7,1.5,11.7,6.5,19.61,383,12.8
36,Kawhi Leonard, SA,66,29.1,0.602,14.6,8.8,17,4.6,18.9,12.1,19.43,256.3,8.5
37,Jordan Hill, LAL,72,20.8,0.579,7.4,10.3,17.6,13.8,24.3,19,19.39,176.6,5.9
38,Pau Gasol, LAL,60,31.4,0.522,15,10.5,24.4,7,25.9,16.4,19.34,245.8,8.2
39,David Lee, GS,69,33.2,0.566,10.4,10.8,22.4,8.8,21.6,15.3,19.21,263.2,8.8
40,Terrence Jones, HOU,76,27.3,0.577,9.1,7.4,16.8,9.2,18.5,14.1,19.14,236.9,7.9
41,Chris Bosh, MIA,79,32,0.597,6.8,9.7,20,5.1,20.3,13,19.11,321.5,10.7
42,Mason Plumlee, BKN,70,18.2,0.67,11.4,14.7,15.6,9.3,19.6,14.5,19.09,144.4,4.8
